dept,endsite,time,m,w,num
10,260,2016-02-07,2,7,6
10,260,2016-02-08,2,1,7
10,260,2016-02-09,2,2,7
10,260,2016-02-10,2,3,5
10,260,2016-02-11,2,4,11
10,260,2016-02-12,2,5,15
10,260,2016-02-13,2,6,7
10,260,2016-02-14,2,7,11
10,260,2016-02-15,2,1,8
10,260,2016-02-16,2,2,20
10,260,2016-02-17,2,3,9
10,260,2016-02-18,2,4,9
10,260,2016-02-19,2,5,11
10,260,2016-02-20,2,6,11
10,260,2016-02-21,2,7,8
10,260,2016-02-22,2,1,6
10,260,2016-02-23,2,2,8
10,260,2016-02-24,2,3,15
10,260,2016-02-25,2,4,11
10,260,2016-02-26,2,5,10
10,260,2016-02-27,2,6,16
10,260,2016-02-28,2,7,6
10,260,2016-02-29,2,1,8
10,260,2016-03-01,3,2,13
10,260,2016-03-02,3,3,13
10,260,2016-03-03,3,4,4
10,260,2016-03-04,3,5,11
10,260,2016-03-05,3,6,5
10,260,2016-03-06,3,7,12
10,260,2016-03-07,3,1,13
10,260,2016-03-08,3,2,10
10,260,2016-03-09,3,3,13
10,260,2016-03-10,3,4,9
10,260,2016-03-11,3,5,12
10,260,2016-03-12,3,6,3
10,260,2016-03-13,3,7,20
10,260,2016-03-14,3,1,7
10,260,2016-03-15,3,2,6
10,260,2016-03-16,3,3,15
10,260,2016-03-17,3,4,4
10,260,2016-03-18,3,5,7
10,260,2016-03-19,3,6,8
10,260,2016-03-20,3,7,14
10,260,2016-03-21,3,1,10
10,260,2016-03-22,3,2,6
10,260,2016-03-23,3,3,3
10,260,2016-03-24,3,4,5
10,260,2016-03-25,3,5,3
10,260,2016-03-26,3,6,3
10,260,2016-03-27,3,7,11
10,260,2016-03-28,3,1,9
10,260,2016-03-29,3,2,6
10,260,2016-03-30,3,3,6
10,260,2016-03-31,3,4,8
10,260,2016-04-01,4,5,8
10,260,2016-04-02,4,6,12
10,260,2016-04-03,4,7,19
10,260,2016-04-04,4,1,8
10,260,2016-04-05,4,2,6
10,260,2016-04-06,4,3,6
10,260,2016-04-07,4,4,10
10,260,2016-04-08,4,5,5
10,260,2016-04-09,4,6,2
10,260,2016-04-10,4,7,7
10,260,2016-04-11,4,1,11
10,260,2016-04-12,4,2,7
10,260,2016-04-13,4,3,2
10,260,2016-04-14,4,4,3
10,260,2016-04-15,4,5,9
10,260,2016-04-16,4,6,7
10,260,2016-04-17,4,7,11
10,260,2016-04-18,4,1,7
10,260,2016-04-19,4,2,6
10,260,2016-04-20,4,3,3
10,260,2016-04-21,4,4,7
10,260,2016-04-22,4,5,2
10,260,2016-04-23,4,6,5
10,260,2016-04-24,4,7,9
10,260,2016-04-25,4,1,7
10,260,2016-04-26,4,2,12
